company_id,type,rule_id,text,confidence_pct
BANKBARODA,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.6
BANKBARODA,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
BANKBARODA,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,88.5
BANKBARODA,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BANKBARODA,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
BANKBARODA,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,89.2
BEL,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BEL,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.5
BEL,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
BHARTIARTL,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BHARTIARTL,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,96.7
BHARTIARTL,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BHARTIARTL,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BHARTIARTL,con,CON01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,72.2
BHEL,pro,NODATA_FALLBACK,Insufficient historical data available to assess business strengths in detail,61.0
BHEL,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,67.2
BHEL,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,94.4
BHEL,con,CON12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,98.9
BOSCHLTD,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
BOSCHLTD,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BOSCHLTD,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,89.7
BOSCHLTD,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,97.0
BOSCHLTD,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.2
BOSCHLTD,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,86.9
BOSCHLTD,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
BPCL,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.6
BPCL,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,63.6
BPCL,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94.8
BPCL,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BPCL,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,76.8
BPCL,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
BRITANNIA,pro,PRO01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BRITANNIA,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.3
BRITANNIA,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.5
BRITANNIA,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
CANBK,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,68.5
CANBK,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,93.5
CANBK,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
CANBK,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,84.1
CANBK,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
CANBK,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,91.7
CANBK,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CANBK,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
CANBK,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,87.6
CHOLAFIN,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.5
CHOLAFIN,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66.2
CHOLAFIN,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,66.7
CHOLAFIN,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,89.9
CHOLAFIN,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79.4
CHOLAFIN,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65.7
CHOLAFIN,con,CON02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,100.0
CHOLAFIN,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,62.9
CHOLAFIN,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,99.4
CHOLAFIN,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86.5
CIPLA,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
CIPLA,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
CIPLA,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,65.5
CIPLA,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
CIPLA,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.2
CIPLA,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CIPLA,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,98.7
CIPLA,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,74.0
COALINDIA,pro,PRO01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
COALINDIA,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
COALINDIA,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
COALINDIA,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,63.3
COALINDIA,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,91.7
COALINDIA,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,64.9
COALINDIA,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,96.1
COALINDIA,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
DABUR,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
DABUR,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.3
DABUR,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,78.9
DABUR,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,60.6
DIVISLAB,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66.3
DIVISLAB,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DIVISLAB,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
DIVISLAB,con,CON09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,100.0
DLF,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
DLF,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,76.1
DLF,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,67.7
DLF,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,71.1
DLF,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
DLF,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.1
DLF,con,CON12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,100.0
DMART,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.6
DMART,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,65.9
DMART,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DMART,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.6
DMART,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.9
DMART,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
DRREDDY,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
DRREDDY,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66.6
DRREDDY,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,66.8
DRREDDY,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DRREDDY,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.6
DRREDDY,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,93.5
DRREDDY,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
DRREDDY,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
EICHERMOT,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
EICHERMOT,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,62.4
EICHERMOT,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
EICHERMOT,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,92.1
EICHERMOT,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.5
EICHERMOT,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66.6
EICHERMOT,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,60.6
GAIL,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,96.3
GAIL,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65.6
GODREJCP,pro,NODATA_FALLBACK,Insufficient historical data available to assess business strengths in detail,61.0
GODREJCP,con,CON04,Company reported a net loss in the most recent financial year,90.0
GRASIM,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,78.6
GRASIM,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.9
GRASIM,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
GRASIM,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,82.4
GRASIM,con,CON09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,100.0
GRASIM,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,60.7
HAL,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.2
HAL,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.0
HAL,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HAL,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,70.3
HAL,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91.0
HAL,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
HAL,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,81.6
HAVELLS,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HAVELLS,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,68.0
HAVELLS,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,89.4
HAVELLS,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
HCLTECH,pro,PRO01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,66.7
HCLTECH,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
HCLTECH,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HCLTECH,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,64.7
HCLTECH,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,76.3
HCLTECH,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,67.8
HDFCBANK,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.5
HDFCBANK,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCBANK,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67.7
HDFCBANK,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,91.1
HDFCBANK,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,61.1
HDFCBANK,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.7
HDFCBANK,con,CON06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,62.6
HDFCBANK,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.8
HDFCLIFE,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.4
HDFCLIFE,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCLIFE,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HDFCLIFE,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,68.9
HDFCLIFE,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
HEROMOTOCO,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
HEROMOTOCO,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HEROMOTOCO,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HEROMOTOCO,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.8
HEROMOTOCO,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,100.0
HEROMOTOCO,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,71.3
HEROMOTOCO,con,CON12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71.4
HINDALCO,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDALCO,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDALCO,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.9
HINDALCO,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.3
HINDALCO,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
HINDUNILVR,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
HINDUNILVR,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDUNILVR,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDUNILVR,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,90.9
HINDUNILVR,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66.6
HINDUNILVR,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,60.3
ICICIBANK,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.0
ICICIBANK,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIBANK,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ICICIBANK,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,79.1
ICICIBANK,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ICICIBANK,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,73.7
ICICIBANK,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ICICIBANK,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
ICICIBANK,con,CON06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,65.3
ICICIBANK,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,79.5
ICICIGI,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
ICICIGI,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIGI,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ICICIGI,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,79.5
ICICIGI,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,100.0
ICICIGI,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
ICICIPRULI,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,64.9
ICICIPRULI,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIPRULI,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ICICIPRULI,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,100.0
ICICIPRULI,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
INDIGO,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
INDIGO,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.5
INDIGO,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
INDIGO,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
INDIGO,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,93.6
INDIGO,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,90.3
INDIGO,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
INDIGO,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
INDIGO,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
INDUSINDBK,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,61.3
INDUSINDBK,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,87.1
INDUSINDBK,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,64.2
INDUSINDBK,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,62.4
INDUSINDBK,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.3
INDUSINDBK,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,86.3
