path,action,reason
day42_integration_check.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day43_dashboard_perf.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day43_index_optimization.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day43_load_test.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day44_add_docstrings.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day44_archive_deliverables.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day45_acceptance_gates.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day45_diagnose_ac13.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day45_final_archive.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day6_manual_review.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
run_exploratory_queries.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
scratch_diagnose.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
scratch_diagnose_tcs.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
